,label
3604786,361
3369598,451
2388458,5212
3857564,4231t
1738399,415
2788478,433
1691649,442
1801916,415
4244951,4321
1750771,343
2155388,4213
1680833,4213
2636169,361
2482119,4123
2197667,3421
3214856,4213
2917407,3421
3990593,3412
4216829,4213
3558753,3421
2042973,4213a
3386923,451
3046158,352
3373853,451
2780611,433
4110462,4411
3084991,3421
3223463,4213
3101283,3421
1787975,415
2394483,4321
3826694,4123
1756798,3421
2236589,4123
3328507,451
2594086,4321
2961143,523
4142734,4321
1485945,523
3645921,343
2311398,5212
1751798,451
1721162,415
2769922,532
3161862,4213
4057274,4411
2800585,433
2902463,451
2942905,352
1566274,523
3811163,3412
1821317,433
2292987,4312
2414615,5212
4198692,4231t
2120634,532
3882011,523
2168010,3412
3439323,5212
3879402,4213a
3143426,4123
3094076,4231t
2058108,4321
2461914,343
1705971,361
3660283,4123
2664088,4213a
2614340,433
2172243,3412
2222706,3421
4031439,4141
3428784,4231t
3212479,4213
2289608,4231t
3465394,4123
3285787,5212
3471865,4123
2616369,442
3791081,442
3099051,4312
3916640,532
3506766,352
3572053,4213
2191540,4123
2230071,3421
1707944,4321
1872008,4312
3856106,442
2238835,4123
3069851,3412
2618053,442
2368591,4213a
3940672,532
3441509,451
3961331,4411
3663989,415
1922215,442
2062977,4411
4276333,4411
2763507,4411
2850161,5212
3787051,4312
2356280,4213a
3020734,532
4321368,4231t
1670553,4213a
3014548,532
2042388,532
2457241,343
3397774,4141
3927849,4123
3431401,451
3474276,415
1623241,442
2906225,532
2443409,442
3115941,4141
4037570,4213
1790043,4411
3577179,361
3695767,5212
3650748,415
1949243,4312
3243689,4213a
3874392,523
3746556,433
2717938,415
3277829,4312
2561312,352
3990685,3412
3892439,523
1825483,532
3301530,4411
1767850,4141
1829687,433
1848882,433
2221148,3421
3945790,4213
3669183,4213
2069400,5212
1501153,451
4144076,4321
3877041,4213
3557427,361
2942077,352
4138872,4123
3788395,4312
2929684,523
4341399,361
1961879,442
4247908,4411
2801425,433
3615549,433
3359075,352
3175069,4321
1907694,442
3762275,433
2522581,352
2403698,4312
3115197,3421
2748218,4231t
2724278,3412
3869723,442
2638364,361
4021440,4123
3073655,5212
3282466,4312
2132323,4231t
2974596,532
2952336,4312
2332893,4321
1657971,4141
1894396,451
3703824,523
3575235,361
1528240,451
2828763,433
2842728,433
1696806,4231t
1913503,343
4322436,4231t
3207114,4213
2283130,4141
2385245,4411
1965674,5212
1815090,433
2810488,4123
3940820,532
4241958,4213a
3100505,4312
1912648,3412
2576345,352
3745248,433
3473796,415
4090563,4213a
1828916,433
2027931,532
2251832,4123
1543591,451
2037139,343
1784980,4321
3053549,4231t
1562091,523
3037524,3412
3645392,451
1790052,415
2589658,352
1943528,4231t
3171444,4312
3203335,4213
4015092,4141
1657112,4123
3338733,532
2942995,352
3556959,361
2271790,4123
2551183,352
3858103,442
2455843,523
2555669,352
3643572,451
3799748,442
1600401,4213a
2241021,4213a
4247842,4411
2937101,4213a
3618426,415
2944916,523
3895946,523
3187014,4141
2745711,4213a
2756988,415
1599598,442
4133047,4123
1727983,415
1665231,451
2149005,4141
3163366,4141
2839178,433
2503523,343
2576067,352
2720784,3412
4063333,4231t
4236666,4312
3061698,3412
4107410,4411
4178427,4213a
3949046,4213
2829228,4213a
1505652,451
2664683,361
1766700,4141
3125605,4213a
2413534,4321
1931664,4213
2773350,532
3035548,3412
3196105,4213a
3063824,3412
2196117,4141
3368261,523
3809865,3412
2206103,4213a
1787706,4321
2170546,4312
3827700,4123
2937181,4213a
4297060,4411
4340525,361
2851337,5212
3116955,4141
1908091,3412
3518729,415
1843581,433
2312345,4141
2684941,361
2471574,352
2929626,523
1534173,451
2473996,352
2180719,3412
2823247,3412
3848088,4321
3427547,4123
3710484,442
3227472,4213a
2354394,4213a
2636549,3412
4287512,4321
3269349,4231t
4298476,4411
3755635,433
2591321,352
2727614,415
3592595,4411
2212616,3421
3917290,532
1546971,4411
1986160,523
3524741,361
1743190,415
3921684,3421
3143356,4123
3585206,4321
1767834,4141
3072800,3412
3707582,415
3671635,4213
1885594,4411
2100880,361
2761251,415
4276774,4321
2851706,433
2437454,343
1952333,442
4174802,4213
1487689,523
3728213,532
3010114,4321
3701006,523
1493857,451
2268215,4123
2933730,4213
1625951,442
2346925,4231t
3212964,4321
2957218,523
1600071,4213a
3214715,4411
2657293,4213
2800023,532
4140865,4123
3031271,3412
2950558,4312
2718779,532
2898724,451
2539735,352
3941863,4213
3823404,442
2335683,4321
3994761,3412
2403809,5212
3089094,352
1709648,361
2870836,532
2966583,5212
3203085,4213
3498784,352
3629378,415
3592102,361
3246780,352
4146517,4411
3757634,343
2206357,4213a
1951172,4321
2763745,4411
4040686,343
1580441,3421
2879649,343
3799679,523
1873178,4312
4067285,3412
3896859,4411
2369559,4213a
2958627,4321
1932879,442
4156182,4123
4360049,451
3775288,4411
2718198,415
2853451,5212
2316469,4321
2963731,523
4268964,4312
1483636,451
3131310,4231t
3629679,451
1824541,532
1944705,442
3709545,433
3983628,523
1714275,4411
1604807,442
2345117,4231t
3958687,532
1841632,4123
1634949,451
3790077,4312
2913939,523
2692958,5212
2814630,433
1533814,4312
4188581,4411
2785685,451
3718248,433
2866993,442
2491575,4213
3137330,4123
3049139,3412
3249351,4213a
3222792,5212
1874185,433
1490199,451
1781326,415
1507459,4123
3763986,4213a
4253931,4231t
1615105,442
3398383,451
2102081,442
4274974,4321
1911970,3412
2617974,352
1697679,361
3704280,415
3293167,5212
3202486,4231t
2349253,4213a
2979407,532
2446906,451
3398090,4141
3192493,352
3459712,523
3470416,352
2401844,4312
1485738,451
3193549,352
2392842,4312
3902355,523
4011431,361
1823455,433
1743992,415
4031399,4141
3432065,451
2655835,361
1908940,442
2475684,352
3321117,361
2728945,3421
2951833,523
3632945,415
3961046,532
1961796,5212
4171299,4141
2227244,4411
2749103,415
3837774,4213
3875461,4213
4277720,4321
3472835,343
3706584,415
3914347,523
2393294,4312
3810576,442
3829334,4123
3470924,352
2898330,451
1575546,4123
3403950,451
3662232,415
3823742,442
2955513,4321
4186224,4321
2293598,4141
3570537,4213
2135258,4141
3029097,3421
2796111,532
4104638,3421
4072131,4312
3568291,361
2110775,352
1777951,415
4172100,4213
3584216,343
2438339,343
1580956,4123
3610543,361
2885745,4141
1501317,451
4145775,4411
2492342,343
1877127,4321
3884442,343
1857447,532
3532595,361
2002105,4411
2788842,433
2050726,532
3489317,4213a
2857191,442
2563162,352
2517757,5212
2241234,4123
2686996,361
1615015,442
1947254,442
3151163,4123
2287947,4141
2063359,4411
3611325,361
2961480,4411
3429718,4231t
3879208,4213a
2457156,532
2332306,4213
2838408,4312
3894542,523
3923988,3421
2512033,343
2067192,5212
2389021,4231t
4144166,4321
2673537,361
2466499,343
3044285,4231t
1675029,451
3008535,4312
2644862,3421
2422030,4411
2286430,4141
3564859,361
1839972,4123
1927072,442
2925559,4141
2151068,3412
1893639,442
2737934,415
2711239,415
2713067,415
2999166,4231t
2122416,532
3901001,523
4067255,3412
1549483,4411
3752301,433
3497700,352
2193349,4141
3477546,415
3911596,4312
3812670,442
2926274,523
1906285,3412
4356001,352
2386745,4231t
3320465,361
4029951,4141
1836264,433
3431326,4231t
2878736,415
2034501,343
3303183,5212
1975905,523
3587561,361
4376256,3412
3498281,4411
1931822,4213
2736872,415
3037050,3412
2231558,3421
4291884,4312
3323968,361
2497119,343
3096458,4231t
3813546,442
2724046,3412
3116492,4123
3349727,3421
3260594,4321
3697661,343
1790246,415
3056732,4312
2034011,343
3080689,4213
2957405,4321
1812904,433
4119983,3421
2205697,4213a
2994087,4213a
1745556,415
2569279,4141
3384602,3421
2573243,352
4243748,4213a
1986746,523
3953737,4213a
1683104,361
3874644,523
3624110,442
4355380,442
1996405,4411
3276513,4312
2607726,361
4078085,3421
2768672,532
3021722,5212
1901102,532
1663341,451
3132429,4123
3515949,415
4050453,4321
2673406,4231t
3881799,523
2607366,361
2194209,4141
1663805,451
2543039,523
2630743,523
2898655,4411
3024014,5212
3449532,523
3209758,4213
3927012,532
4363580,352
3866768,442
1816079,451
1765645,415
3645105,343
2857852,451
3148097,4123
2103543,442
3911838,4312
1718883,361
4060361,4231t
3625034,415
2753696,415
4371927,532
3050007,3412
1508561,4123
4173298,4213
3247146,352
2220011,4321
3012799,532
3038519,4141
3890688,4321
1922693,442
1588991,4141
1632839,451
3209818,4213
3892679,523
3957141,532
4187963,4141
4318705,4312
1669068,451
3075815,3421
1489364,532
3940794,532
1973417,523
4141431,4123
4114995,4231t
1674498,4231t
4103882,3421
1477538,343
2988208,532
1566235,3421
3368504,451
2515925,5212
2115628,352
2692415,361
2739728,415
1504385,451
2128605,3421
3537843,451
3611690,4312
1802292,415
2833610,433
2631133,523
2473807,361
2471174,361
2435982,343
3870612,4312
3658217,415
2340759,4213
1555718,523
3236477,4321
2125159,4123
2686037,4411
2557310,3421
4288960,4321
2285232,4141
3496042,4321
4335035,343
1986494,523
3641137,532
3527302,343
1551954,5212
1748726,451
3687441,415
3391920,451
3988999,4141
1697885,361
2758439,4312
3788546,433
3562389,3421
3117221,4141
2668939,451
4088871,3421
3763937,433
2331072,4312
2118503,451
1488034,451
4321250,4231t
2914061,523
1836674,433
3824122,442
4266838,343
1578545,3421
3503769,352
2978592,532
3860447,442
1551415,451
2641499,361
2891182,4321
3467661,523
2807093,3421
3733362,3412
4265375,5212
1644688,3412
1911261,343
3341812,3412
2896192,451
4226124,4411
3367867,523
1633661,451
2680307,4312
3719309,433
2090704,4411
2560960,352
1683704,361
1514003,451
3300247,361
1744643,532
3632330,523
2239916,4123
2121690,532
1877364,433
3229789,4213a
4022799,3412
3943101,4213
1872640,4312
2813862,433
1777275,415
2839915,4321
1486018,451
3140362,4321
3354808,4123
2538896,451
3251037,4213a
2915412,523
1655161,451
1619761,4411
2569405,4141
4148562,4123
2667163,451
4262430,343
3369959,523
2703141,415
3363520,3421
1518963,4213
3394399,451
3291830,4321
3143260,4123
3336989,532
3191651,352
1539583,451
3733291,433
2276161,4141
3625927,451
4138316,4123
2982364,4141
4155829,4231t
2891136,4321
2748845,415
4342556,352
1993376,4321
2436684,343
4377572,3412
2096454,343
4259620,5212
3956629,532
3432959,451
2221240,3421
2693961,361
2678299,4312
2159692,4213a
1581186,4123
3002583,532
3900347,523
2985751,4213
1815856,433
1741473,532
2340026,5212
1858965,532
2576931,352
3504488,4231t
1921983,442
2948824,4312
3659294,415
1696571,361
3971784,4231t
2508896,343
4338856,361
1488016,451
3164999,4213a
4332291,4312
3818386,3412
2537902,451
3911471,523
1894620,451
3663822,4141
3170978,4312
1627111,4123
2807766,433
2523250,415
2642248,3421
1611634,4321
3965540,532
2903187,451
3391717,4123
3587003,361
3162739,4141
3459495,3421
2686431,4411
3666834,4141
1662760,451
1604288,4231t
2514047,343
2173305,3412
2052409,4312
1728053,415
2002600,523
2845079,433
3877141,4213
2952182,4312
1697922,4231t
2974422,532
4348191,352
1813496,433
3646458,451
3645340,451
2661840,4213a
3144603,4321
3132540,4231t
2437215,361
1830844,3412
1644277,451
2282666,4141
2085834,4123
3369436,451
1907457,3412
2675967,4312
4207207,4141
3709317,433
3918618,532
3848046,4321
2816568,433
2190576,4123
1849940,433
4325008,4312
3283300,4312
2198104,4213
3192710,4411
1938326,442
2618281,442
4085964,4213
1593122,4213
3296540,4321
2332739,4321
2739723,4141
2739363,4141
4066294,5212
3434608,451
3393801,4123
2222088,3421
3095624,4231t
4097657,343
2763231,4411
3526098,343
4141297,4123
3452351,523
3901207,523
3539754,361
4199828,4141
3355429,361
2997877,4213a
1571452,4123
2985888,532
3910050,523
2041518,532
2141424,415
1873686,4312
1906191,3412
3009045,4312
2155192,4213
3197844,4213
1961027,4411
3960340,532
2354386,4213a
3377201,451
2263281,4321
3655863,415
3539532,361
2147032,4123
1496475,3412
2865201,523
2547269,352
1549516,451
2483415,4123
1879062,433
2694743,361
3887634,343
1701191,4312
4051568,3412
3606322,361
1643501,532
3978822,4312
4041285,4213a
3022839,532
3955644,4321
2494345,343
3234852,4213a
2172626,4312
2189268,4123
2869213,442
2812853,4141
3901611,523
1506992,451
3399268,4141
2757400,415
2873956,442
2368737,4213a
3585727,361
2155732,4213
4206508,4312
1784303,4312
1637109,451
2378670,4321
1704177,4312
3533683,361
2914241,523
3061321,4321
1556414,523
3560639,3421
3572638,361
4308324,4411
3564553,361
2801262,3412
3286274,4312
3969852,4231t
3658541,4123
2214154,3421
3168711,4141
1801895,5212
3366262,3421
2159144,343
1999419,4411
2725067,3421
4197224,4231t
4221480,4213
3835104,442
1481341,343
1895187,442
4161039,4231t
1976152,4213a
3563425,3421
2555501,352
3467734,4123
2006656,5212
2432741,361
2746902,415
2498012,343
3508391,5212
1849489,4141
3168646,4312
3172340,4312
2296097,4312
2531677,352
4207950,4312
3455930,3412
3936756,4141
3765954,433
3209373,4312
2834730,4312
4308488,4411
4224287,4213
3335072,523
2816655,4141
1717791,361
4210076,4312
4281142,4231t
4140983,4123
4243152,4213a
3958212,4321
3925886,3421
4275444,4321
3079329,3421
2183571,3412
3267890,5212
1529039,4231t
2810737,433
1905526,442
4204192,4141
1536446,343
2696189,361
1824280,523
3419574,4411
3583282,343
3995376,4123
3714158,442
3771598,4411
3433402,4231t
2769852,532
2863859,523
2412364,4321
2269480,4123
3897833,4411
2668536,352
4044813,3412
2033642,4213
1503809,451
1864233,433
2782169,433
4212359,4231t
3573797,4213
4370100,523
2365490,343
2064670,532
3259966,4321
2248538,4231t
1542984,4321
4160062,4123
3152551,5212
4116194,3421
1705328,4321
2041609,4213a
3155934,4123
4283499,4321
2773150,532
3612088,4312
3866978,442
2553206,352
2052994,532
1494704,451
2071759,4141
4148585,4411
1956963,4411
2454274,343
3658113,415
2462241,3412
2550599,352
3435432,451
4070666,3412
4249441,4213a
3979950,4312
2512892,4411
1901001,442
4096095,343
4219272,4213a
4015762,415
1678167,451
1765271,415
4008367,3421
3160409,4141
3404612,451
2931049,523
3927254,532
3410735,451
3800160,442
2545926,352
1658368,451
2117007,451
2920097,523
3471049,4123
1874865,4321
4302787,4411
2645483,4123
1919697,442
1697962,4231t
4088333,3421
3937741,532
2316808,343
2292437,4312
2709153,451
3778172,433
1835791,3421
3076569,3421
2113533,3421
3779926,433
4266126,343
3153985,5212
1833149,433
2111537,352
1602919,442
1653942,4123
3409968,4213a
3396774,4141
2943238,4213
3096071,3421
2337689,4213
2652473,361
1804608,415
3656657,415
1938980,442
2464121,3412
2306042,4141
2027643,532
2698488,415
1958438,442
3757954,343
2628567,523
2264338,4411
4065764,5212
3801256,442
4304461,4411
3455416,3412
3306813,5212
4229940,4213
3990712,3421
2588534,352
3072301,5212
1717627,361
4101646,3421
1688384,4213a
3302571,5212
2440504,433
4131799,4123
3413996,451
2913793,523
3976528,532
3157817,5212
2905561,532
1962135,442
4120322,5212
2430854,352
3417152,4411
1769688,4141
3751009,433
3318907,361
1898325,523
3731013,433
1961819,442
3170817,4141
3355031,361
2469918,361
1799960,523
2459146,532
4267965,5212
2201723,3421
3949849,4213a
4150788,4411
3490320,352
3807779,442
3664456,4141
3842279,4213a
1593303,442
2681241,361
2775939,5212
3772414,4411
3021450,5212
2892370,4321
1963635,442
3865642,442
1481235,343
2030472,532
1609432,4321
3543781,361
3495324,4321
2099087,352
2650237,361
2709281,451
3565084,4123
1776309,415
4182930,4321
1835235,3421
4057459,3412
3193626,4411
2875188,442
2293551,4312
2552949,3412
1875517,4321
1579334,442
3030487,3412
3051541,3412
3817201,343
3511210,4312
2115318,352
2213314,3421
3002537,532
2225174,4411
3900604,4231t
4249732,4411
4035619,3412
3108168,3421
2845254,4411
3715191,451
2239394,4213
4169927,4312
1755830,3421
3217588,4213
2802740,3412
1796833,343
3468158,4123
1607167,4312
1654554,4123
3801435,523
3854255,4411
2962280,4411
1525394,4213a
2383153,4411
2089892,4411
1996449,4411
3111907,3421
3868725,442
2359052,4411
1764058,415
1889334,433
2120688,532
1775353,415
4028606,3412
4175658,4213
2602417,352
1724349,433
3206490,4213
3237885,4321
2056219,532
1881607,433
2493896,4213a
3667218,4141
3350112,361
4295452,4411
2790280,523
2083144,4123
3759741,532
1952554,4321
4165183,4123
1709730,361
2307542,5212
2103777,442
2582923,352
3066452,4411
1929901,442
2526539,361
3002386,4231t
3842255,4213a
2363152,4411
2180906,4411
4120189,3421
2954899,4321
2023408,532
1820599,433
2570183,4141
2938196,523
2295784,4141
3103097,3421
3774903,433
4237657,4213
3477826,415
2351287,4213a
2099918,415
3954601,4213a
3679988,415
1885977,433
2041748,532
2701980,442
2457716,532
3956986,4321
3884248,343
2116160,4312
2926294,523
2730988,4123
4377131,352
1880258,433
2433209,361
3881816,4213a
3767080,433
1987012,523
2657820,361
2065475,532
4267919,5212
3063409,4321
3269816,5212
2789226,433
2678888,361
1497390,451
2534712,352
3095091,3421
1814981,451
3436027,5212
2364600,343
3533167,361
3098370,3421
3616363,433
2089955,4213
1686333,361
2063126,532
3765125,433
3589713,361
3980805,532
3009554,532
1768365,415
3991380,3421
1947984,442
4096830,4321
3566648,4123
1660181,4141
3048919,3412
1819627,433
2102667,442
2796741,532
1839730,4123
2156728,343
2542626,352
1476867,352
2846269,433
1936240,442
1720121,361
4299834,4411
1852906,4213
4020446,415
3495450,4321
2213272,3421
1637060,523
2640616,361
4218819,4213
3332288,523
1737442,523
3183257,4141
1555124,5212
2566947,352
2343306,4213a
1872526,4312
3728572,433
1595020,4213
2513303,343
3627697,451
2242309,4213a
3881469,523
3454351,523
2181780,4411
3241396,4411
2584032,4231t
2251994,4123
3127662,4123
2327225,4213
2167662,3412
1509209,4123
3964123,4411
2946071,4231t
2402961,5212
1670319,4213a
3188644,4141
1739086,523
3970227,532
2564220,433
3134323,4312
2053880,4321
3028007,3421
3593576,361
4258285,4213a
3679276,4213a
1846786,433
3666933,415
1512172,4141
3608140,361
1744265,532
3598594,4231t
3860072,4231t
3505526,4231t
3081069,4213
3063992,3412
3029083,3421
2248389,4123
4268266,4312
3142323,352
2298457,4141
2878759,343
2193238,3421
2208069,343
1522586,4213a
3782927,433
2258124,4312
4060777,4231t
3016485,4411
2712038,523
3927084,532
2405982,4312
2005191,523
2948191,523
3411099,451
3665111,415
3883947,4141
3103527,3421
2755380,415
4157931,4231t
3481397,4141
3401191,4213
3151914,4411
3532277,361
1828788,433
3188117,5212
4106246,3421
4214431,4213
3334091,361
3189335,5212
1484131,523
2524475,361
3647054,451
2509371,4321
2361747,4213a
4200090,4141
1709858,361
3794569,442
2900431,451
2849235,433
3872341,442
4352612,352
1978795,4141
3251598,5212
2734000,4123
2038854,532
1913990,3412
2644894,3421
2447884,451
2414578,4321
3280870,4411
4077066,4123
3187233,5212
2663547,361
1714682,361
3624026,442
3466043,523
3280753,4312
3386996,3421
1585249,442
3921257,532
2570094,352
4347680,415
1755370,3421
2161411,3412
2514996,4411
4135491,4213a
4265358,343
3316761,433
2163935,3412
3124790,4213
2851026,433
2869465,442
2632820,532
2045105,532
3073460,3412
2137125,361
3028746,3412
4152938,4411
3307895,5212
3997269,4141
3974479,5212
2017194,3421
3112939,3421
3867795,442
2789517,433
1943297,442
1731821,451
4377005,352
2479603,343
3720788,523
2072993,4141
3693376,415
1734250,415
2519577,352
3964071,4411
1752350,415
3247108,352
3152404,4123
4012979,361
2891012,4321
2520876,415
1975542,4213a
1796372,523
3498328,352
4337359,343
2389510,5212
2323042,4213
1605052,442
3502685,352
4187941,4141
1718735,361
3441109,451
1951877,442
2039165,4213a
2234638,4213
2788538,433
2635732,532
3049440,4213a
3371466,451
1513053,451
3129859,4123
1857871,532
4252663,4231t
4254427,4231t
1896608,442
1957060,442
2016361,532
2399280,4411
4087400,4213
2788672,433
3440102,4312
2466662,361
4027258,3412
3586840,4321
3788788,433
2494684,4213a
3926478,3421
2370361,4213a
1644969,451
3546262,523
2501404,343
4198391,4141
3730954,3412
1511049,451
4165359,4123
1805098,415
1839512,4123
2293197,4312
4210436,4312
3364281,343
2461688,343
2513151,343
3363127,343
3754054,4213
2460687,343
3425014,343
2301235,4141
4149829,4411
3823567,3421
2394541,4321
4340353,361
2759849,415
3721393,433
3394919,451
2464424,343
4323041,4312
2700602,415
3200863,4213
3607351,5212
3257156,4231t
3304016,4411
3865837,5212
2220928,3421
3437735,5212
3114386,5212
2347033,4213a
3038370,3412
4154791,343
3506391,5212
3582819,442
3539533,451
1534895,451
3753510,4213
3927767,4123
3055413,4231t
1529599,4231t
2290327,4141
3190218,4141
2860769,523
1637438,451
4174672,4213
2443761,442
1925012,442
3542189,451
2260156,4123
2204783,4213a
1773828,415
1648814,451
4275325,4411
1512456,4141
3231448,4312
3986799,4141
2522477,352
2872360,532
1877000,433
1535551,451
2034594,4213
1566741,3421
2646117,4123
1689869,442
3526494,343
2175565,4321
1573513,523
2290681,4141
3036864,3412
1579528,442
3300248,415
1818162,433
2478463,343
3449340,523
3209596,4213
4091328,3421
1588779,4141
3863942,442
2387957,4231t
1875628,433
3374482,532
4189028,4141
2249322,4231t
2580495,4213a
2695421,361
3980909,532
2210720,3421
2373282,4231t
4272983,4213a
3072458,3412
1494019,451
3682976,415
1831217,433
3047772,4213a
1684199,4213
1734292,415
2750971,415
4302957,4411
4314147,4231t
3772703,433
3865850,442
2078290,3421
2770971,352
2966361,5212
1788332,4321
1868953,4231t
1936673,4213a
3601142,4231t
3111664,5212
4371263,532
1981274,4231t
2164689,4231t
3235919,4321
2607955,415
2402672,4312
4082736,3421
2142889,4231t
4347567,352
4046593,3412
4328816,4312
3813585,3412
1543854,4321
2020051,4123
3646509,343
3993747,3412
4251861,4231t
4355544,442
1826657,532
2830744,433
3210773,4213
3091760,352
1657422,4123
3193272,4411
3648415,3412
3618887,433
3643010,451
3155301,5212
1858573,532
3087094,4213a
2796262,433
1826048,433
2524175,361
3229093,4213a
3166627,4213a
4255824,4213a
4257898,5212
3091648,352
3338206,361
2149238,3412
2753931,4312
1570234,523
2162872,4213a
2668564,352
1661721,4141
3562485,3421
2099302,415
2320909,4213
4024730,4123
3447769,532
4017500,415
2566050,433
3934704,4141
1476054,343
1705977,361
1524384,4213a
2975434,532
2728514,415
3395775,451
3275650,4312
2632784,532
1955911,442
1650062,451
2384014,4231t
2544128,352
4308407,4312
2944474,523
3726808,433
4059406,3412
2771790,532
3837498,4213
2106215,352
2780525,433
3536959,361
3065811,3412
3187060,4141
1998654,523
1567888,523
2165114,3412
2633302,532
3253820,4231t
2067781,532
2118043,451
3940684,532
3784846,5212
1855600,343
1752488,415
2109155,352
3284055,5212
4162952,5212
2916585,3421
2601060,352
2624901,361
3832055,4141
3804229,442
2924652,523
3770574,433
4079406,4123
4180338,4141
2312865,4321
3673941,4213
2207838,4231t
4258088,5212
2968562,523
2131885,4231t
2588319,4312
3473434,415
3735669,3421
2937113,4213a
3458574,523
3866967,5212
3745614,433
2245189,4123
